,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Z_32
21,-5.2640837e-05,-2.1000313e-11,3.107032e-05,2.8168183e-06,3.3255653e-06,3.8244252e-10,-6.8528e-05,4.8326232e-11,0.0012514659,-5.4228132e-12,6.254819e-11,-8.994584e-06,-0.0018387124,-1.6296094e-12,1.2446731e-05,0.0007569329,5.764056e-12,-2.27567e-11,-3.6653444e-05,1.914661e-11,2.0011314e-05,1.0772716e-11,-3.4035944e-11,1.7818124e-05,0.0001735883,-4.196841e-05,6.1661034e-05,-3.2969183e-12,5.1313597e-12,-7.672128e-06,-3.4304823e-05,5.9504324e-05
22,-5.2640837e-05,-2.105649e-11,3.1070325e-05,2.819571e-06,3.3255658e-06,3.799414e-10,-6.8528e-05,4.8316906e-11,0.0012514659,-5.425111e-12,6.621459e-11,-8.994584e-06,-0.0018387124,-1.6299451e-12,1.2446774e-05,0.0007569329,5.4077853e-12,-2.2741024e-11,-3.6653444e-05,1.9146299e-11,2.0011312e-05,1.1235457e-11,-3.4021685e-11,1.7818147e-05,0.0001735883,-4.196841e-05,6.16594e-05,-3.0695446e-12,2.1288518e-12,-7.672132e-06,-3.4304823e-05,5.9504324e-05
23,-5.2640837e-05,-2.1152413e-11,3.1070325e-05,2.8195393e-06,3.3255658e-06,3.7607606e-10,-6.8528e-05,4.82987e-11,0.0012514659,-5.4818667e-12,7.7772455e-11,-8.994584e-06,-0.0018387124,-1.630606e-12,1.2446924e-05,0.0007569329,4.6221915e-12,-2.263294e-11,-3.6653444e-05,1.9145635e-11,2.0011312e-05,1.2320811e-11,-3.398814e-11,1.7818198e-05,0.0001735883,-4.196841e-05,6.1656225e-05,-2.16005e-12,3.0996612e-12,-7.67214e-06,-3.4304823e-05,5.950432e-05
24,-5.2640837e-05,-2.0994095e-11,3.107032e-05,2.816304e-06,3.3255653e-06,3.8244252e-10,-6.8528e-05,4.8327342e-11,0.0012514659,-5.424526e-12,6.239809e-11,-8.994584e-06,-0.0018387124,-1.6295771e-12,1.2446728e-05,0.0007569329,5.798473e-12,-2.2755117e-11,-3.6653444e-05,1.9146637e-11,2.0011314e-05,1.0738077e-11,-3.4037172e-11,1.7818122e-05,0.0001735883,-4.196841e-05,6.166119e-05,-3.2969183e-12,5.676573e-12,-7.672127e-06,-3.4304823e-05,5.9504324e-05
25,-5.2640837e-05,-2.0993873e-11,3.107032e-05,2.8162794e-06,3.3255653e-06,3.8244252e-10,-6.8528e-05,4.8327342e-11,0.0012514659,-5.424581e-12,6.239009e-11,-8.994584e-06,-0.0018387124,-1.6295758e-12,1.2446728e-05,0.0007569329,5.800027e-12,-2.2755086e-11,-3.6653444e-05,1.9146637e-11,2.0011314e-05,1.0736301e-11,-3.4037224e-11,1.7818122e-05,0.0001735883,-4.196841e-05,6.1661194e-05,-3.2969183e-12,5.695941e-12,-7.672127e-06,-3.4304823e-05,5.9504324e-05
26,-5.2640837e-05,-2.1168844e-11,3.1070325e-05,2.8195336e-06,3.3255658e-06,3.7539394e-10,-6.8528e-05,4.8295368e-11,0.0012514659,-5.49121e-12,7.96998e-11,-8.994584e-06,-0.0018387124,-1.6307168e-12,1.2446949e-05,0.0007569329,4.4921844e-12,-2.2614265e-11,-3.6653444e-05,1.914552e-11,2.0011312e-05,1.250422e-11,-3.398243e-11,1.7818207e-05,0.0001735883,-4.196841e-05,6.165566e-05,-2.046363e-12,3.381441e-12,-7.672141e-06,-3.4304823e-05,5.950432e-05
27,-5.2640837e-05,-2.1006974e-11,3.107032e-05,2.8173447e-06,3.3255653e-06,3.8221515e-10,-6.8528e-05,4.8325344e-11,0.0012514659,-5.4207407e-12,6.271872e-11,-8.994584e-06,-0.0018387124,-1.6296435e-12,1.2446732e-05,0.0007569329,5.7278626e-12,-2.2758836e-11,-3.6653444e-05,1.9146577e-11,2.0011314e-05,1.0811796e-11,-3.4034553e-11,1.7818127e-05,0.0001735883,-4.196841e-05,6.1660874e-05,-3.2969183e-12,4.508391e-12,-7.672128e-06,-3.4304823e-05,5.9504324e-05
28,-5.2640837e-05,-2.114664e-11,3.1070325e-05,2.8195914e-06,3.3255658e-06,3.7630343e-10,-6.8528e-05,4.829981e-11,0.0012514659,-5.4775763e-12,7.697576e-11,-8.994584e-06,-0.0018387124,-1.6305705e-12,1.2446914e-05,0.0007569329,4.6611603e-12,-2.264007e-11,-3.6653444e-05,1.9145675e-11,2.0011312e-05,1.224576e-11,-3.399004e-11,1.7818194e-05,0.0001735883,-4.196841e-05,6.165634e-05,-2.16005e-12,2.978385e-12,-7.672139e-06,-3.4304823e-05,5.950432e-05
29,-5.2640837e-05,-2.1022517e-11,3.107032e-05,2.8185639e-06,3.3255656e-06,3.8153303e-10,-6.8528e-05,4.83229e-11,0.0012514659,-5.416535e-12,6.309708e-11,-8.994584e-06,-0.0018387124,-1.6297216e-12,1.2446738e-05,0.0007569329,5.6427085e-12,-2.2762774e-11,-3.6653444e-05,1.9146507e-11,2.0011314e-05,1.0897505e-11,-3.4031472e-11,1.781813e-05,0.0001735883,-4.196841e-05,6.1660496e-05,-3.1832315e-12,3.187525e-12,-7.67213e-06,-3.4304823e-05,5.9504324e-05
30,-5.2640837e-05,-2.0993873e-11,3.107032e-05,2.8162804e-06,3.3255653e-06,3.8244252e-10,-6.8528e-05,4.8327342e-11,0.0012514659,-5.424586e-12,6.239098e-11,-8.994584e-06,-0.0018387124,-1.6295758e-12,1.2446728e-05,0.0007569329,5.800027e-12,-2.2755072e-11,-3.6653444e-05,1.9146637e-11,2.0011314e-05,1.0736301e-11,-3.4037228e-11,1.7818122e-05,0.0001735883,-4.196841e-05,6.1661194e-05,-3.2969183e-12,5.696139e-12,-7.672127e-06,-3.4304823e-05,5.9504324e-05
